Vulnerable IP			Site	
				
172.19.145.73 - VULNERABLE - got appid			TWTPE	
172.20.10.35 - VULNERABLE - got appid			THRAY	
172.20.10.37 - VULNERABLE - got appid			THRAY	
172.20.10.56 - VULNERABLE - got appid			THRAY	
172.20.10.36 - VULNERABLE - got appid			THRAY	
172.20.10.63 - VULNERABLE - got appid			THRAY	
172.20.10.39 - VULNERABLE - got appid			THRAY	
172.20.10.103 - VULNERABLE - got appid			THRAY	
172.20.10.189 - VULNERABLE - got appid			THRAY	
172.20.10.28 - VULNERABLE - got appid			THRAY	
172.20.31.49 - VULNERABLE - got appid			THRAY	
172.20.71.34 - VULNERABLE - got appid			THRAY	
172.20.71.227 - VULNERABLE - got appid			THRAY	
172.20.10.253 - VULNERABLE - got appid			THRAY	
172.20.71.198 - VULNERABLE - got appid			THRAY	
172.20.34.2 - VULNERABLE - got appid			THRAY	
172.20.71.242 - VULNERABLE - got appid			THRAY	
172.20.71.229 - VULNERABLE - got appid			THRAY	
172.20.71.228 - VULNERABLE - got appid			THRAY	
172.20.248.51 - VULNERABLE - got appid			THBKK	
172.21.8.124 - VULNERABLE - got appid			SARUH	
172.21.8.122 - VULNERABLE - got appid			SARUH	
172.21.8.121 - VULNERABLE - got appid			SARUH	
172.21.8.126 - VULNERABLE - got appid			SARUH	
172.21.8.111 - VULNERABLE - got appid			SARUH	
172.21.8.110 - VULNERABLE - got appid			SARUH	
172.21.8.123 - VULNERABLE - got appid			SARUH	
172.21.8.125 - VULNERABLE - got appid			SARUH	
172.21.8.127 - VULNERABLE - got appid			SARUH	
172.21.8.136 - VULNERABLE - got appid			SARUH	
172.21.8.129 - VULNERABLE - got appid			SARUH	
172.21.8.128 - VULNERABLE - got appid			SARUH	
172.21.8.135 - VULNERABLE - got appid			SARUH	
172.21.8.137 - VULNERABLE - got appid			SARUH	
172.21.8.139 - VULNERABLE - got appid			SARUH	
172.21.8.176 - VULNERABLE - got appid			SARUH	
172.21.8.130 - VULNERABLE - got appid			SARUH	
172.21.8.138 - VULNERABLE - got appid			SARUH	
172.21.8.140 - VULNERABLE - got appid			SARUH	
172.21.8.103 - VULNERABLE - got appid			SARUH	
172.21.8.112 - VULNERABLE - got appid			SARUH	
172.21.8.114 - VULNERABLE - got appid			SARUH	
172.21.8.113 - VULNERABLE - got appid			SARUH	
13: 10.125.2.90 - VULNERABLE - got appid			NZWHK	
10.125.2.90  VULNERABLE - got appid			NZWHK	
10.125.2.33 - VULNERABLE - got appid			NZWHK	
10.125.2.101 - VULNERABLE - got appid			NZWHK	
10.125.22.19 - VULNERABLE - got appid			NZWHK	
10.125.2.36 - VULNERABLE - got appid			NZWHK	
92.168.80.8 - VULNERABLE - got appid			NZWHK	
192.168.80.9 - VULNERABLE - got appid			NZWHK	
172.19.146.125 - VULNERABLE - got appid			KRSEL	
172.19.144.109 - VULNERABLE - got appid			IDJKT	
10.2.21.7 - VULNERABLE - got appid			DEWIT	
10.2.10.111 - VULNERABLE - got appid			DEWIT	
10.2.23.22 - VULNERABLE - got appid			DEWIT	
10.2.10.50 - VULNERABLE - got appid			DEWIT	
10.2.21.35 - VULNERABLE - got appid			DEWIT	
10.2.70.86 - VULNERABLE - got appid			DEWIT	
